sales_id,order_id,item_name_id,quantity,unit_price,overall_price,size,category,components,item_name,employee_id
SI_1,OR_1,item_101,705,794.68,560249.4,L,Category B,"Ceiling Rose, Main Switch, LED Bulb, Switches, Holders, Cables",special,emp_655
SI_2,OR_2,item_102,343,638.5,219005.5,M,Category C,"LED Bulb, Holders, Main Switch, Socket/Outlet plug, Ceiling Rose, Fan, Switches",who,emp_2431
SI_3,OR_3,item_103,307,936.01,287355.07,XL,Category B,Fan,wish,emp_987
SI_4,OR_4,item_104,782,200.45,156751.9,XXL,Category A,"Switches, Cables, Holders, Socket/Outlet plug",feeling,emp_2501
SI_5,OR_5,item_105,723,54.8,39620.4,XL,Category A,"Socket/Outlet plug, Cables, Holders",evening,emp_1361
SI_6,OR_6,item_106,189,878.93,166117.77,M,Category C,"LED Bulb, Fan, Holders, Main Switch",work,emp_765
SI_7,OR_7,item_107,943,237.4,223868.2,M,Category A,"Cables, Main Switch, LED Bulb, Switches, Ceiling Rose, Holders, Socket/Outlet plug",oil,emp_2014
SI_8,OR_8,item_108,913,157.96,144217.48,S,Category B,"Ceiling Rose, LED Bulb, Main Switch",back,emp_301
SI_9,OR_9,item_109,889,442.75,393604.75,L,Category B,"Ceiling Rose, Fan, LED Bulb, Cables, Socket/Outlet plug, Holders",evidence,emp_1365
SI_10,OR_10,item_110,707,645.26,456198.82,XL,Category B,"Socket/Outlet plug, Ceiling Rose, Fan, Switches, LED Bulb, Holders, Cables",family,emp_1399
SI_11,OR_11,item_111,879,368.25,323691.75,L,Category A,"Socket/Outlet plug, Fan, Ceiling Rose, Holders",onto,emp_2463
SI_12,OR_12,item_112,733,376.04,275637.32,XL,Category C,"Switches, LED Bulb, Fan, Socket/Outlet plug",also,emp_464
SI_13,OR_13,item_113,206,280.46,57774.76,XXL,Category C,"Ceiling Rose, Cables",arrive,emp_1218
SI_14,OR_14,item_114,803,483.51,388258.53,S,Category A,"Holders, Switches, Cables",when,emp_1551
SI_15,OR_15,item_115,551,158.82,87509.82,M,Category C,"Fan, Cables, Main Switch, Holders",may,emp_285
SI_16,OR_16,item_116,867,220.7,191346.9,S,Category C,"Socket/Outlet plug, Holders, Main Switch, Cables, LED Bulb",several,emp_1523
SI_17,OR_17,item_117,792,62.82,49753.44,M,Category B,"LED Bulb, Main Switch, Fan, Socket/Outlet plug, Ceiling Rose, Holders, Switches, Cables",tax,emp_149
SI_18,OR_18,item_118,172,246.91,42468.52,M,Category C,"Ceiling Rose, Socket/Outlet plug, Main Switch, Cables, LED Bulb",still,emp_1704
SI_19,OR_19,item_119,211,338.17,71353.87,S,Category A,"Fan, Ceiling Rose, Switches, Cables, Holders",cup,emp_1626
SI_20,OR_20,item_120,201,311.16,62543.16,L,Category C,"LED Bulb, Switches",somebody,emp_2036
SI_21,OR_21,item_121,922,659.89,608418.58,L,Category A,"Fan, Main Switch",example,emp_2156
SI_22,OR_22,item_122,691,872.08,602607.28,L,Category B,"LED Bulb, Main Switch, Socket/Outlet plug, Fan, Cables, Holders",fine,emp_1907
SI_23,OR_23,item_123,399,178.64,71277.36,L,Category A,"Switches, Ceiling Rose, Holders, Main Switch",commercial,emp_669
SI_24,OR_24,item_124,453,229.0,103737.0,S,Category B,"Cables, Ceiling Rose, Switches, Socket/Outlet plug, Main Switch",tell,emp_2443
SI_25,OR_25,item_125,593,39.04,23150.72,L,Category B,"Main Switch, Fan, Socket/Outlet plug, Ceiling Rose, Holders, LED Bulb, Cables, Switches",inside,emp_1905
SI_26,OR_26,item_126,193,214.8,41456.4,M,Category A,LED Bulb,spring,emp_1140
SI_27,OR_27,item_127,635,826.6,524891.0,S,Category B,"Holders, Fan, Ceiling Rose, Switches, LED Bulb, Main Switch",word,emp_2239
SI_28,OR_28,item_128,104,541.22,56286.88,XXL,Category C,"Holders, Fan",interview,emp_132
SI_29,OR_29,item_129,453,847.24,383799.72,XXL,Category B,"Ceiling Rose, Cables, Main Switch, Fan, Socket/Outlet plug, LED Bulb, Holders, Switches",hold,emp_563
SI_30,OR_30,item_130,723,854.09,617507.07,XL,Category C,"Ceiling Rose, Cables, Fan, LED Bulb",own,emp_2387
SI_31,OR_31,item_131,149,409.69,61043.81,L,Category A,"Socket/Outlet plug, Ceiling Rose, Holders, Cables, Fan, LED Bulb, Switches",painting,emp_2388
SI_32,OR_32,item_132,597,657.78,392694.66,XXL,Category C,"LED Bulb, Socket/Outlet plug, Fan, Holders, Cables, Switches, Main Switch, Ceiling Rose",benefit,emp_110
SI_33,OR_33,item_133,140,794.52,111232.8,S,Category A,"Cables, Switches, Ceiling Rose, LED Bulb, Holders, Fan",economy,emp_2530
SI_34,OR_34,item_134,962,265.11,255035.82,L,Category B,Main Switch,what,emp_1184
SI_35,OR_35,item_135,902,725.94,654797.88,XXL,Category B,"Cables, LED Bulb, Ceiling Rose",cause,emp_2044
SI_36,OR_36,item_136,810,731.07,592166.7,M,Category B,"Switches, Ceiling Rose, LED Bulb, Holders, Cables, Fan",provide,emp_995
SI_37,OR_37,item_137,339,528.17,179049.63,M,Category A,"Ceiling Rose, Fan, Cables",ahead,emp_170
SI_38,OR_38,item_138,555,793.18,440214.9,S,Category A,"LED Bulb, Main Switch, Cables, Holders, Fan",best,emp_1807
SI_39,OR_39,item_139,982,751.3,737776.6,S,Category B,"Switches, Socket/Outlet plug, LED Bulb",space,emp_530
SI_40,OR_40,item_140,615,349.62,215016.3,XL,Category B,Switches,environmental,emp_2232
SI_41,OR_41,item_141,620,159.76,99051.2,S,Category C,"Switches, Fan",cup,emp_767
SI_42,OR_42,item_142,868,897.41,778951.88,L,Category A,Socket/Outlet plug,activity,emp_2423
SI_43,OR_43,item_143,495,428.11,211914.45,L,Category C,"Fan, Holders, Socket/Outlet plug, Main Switch",analysis,emp_702
SI_44,OR_44,item_144,730,427.71,312228.3,XXL,Category B,"Switches, Ceiling Rose, Cables, Main Switch, Fan, LED Bulb",bed,emp_1949
SI_45,OR_45,item_145,946,829.56,784763.76,XXL,Category B,"LED Bulb, Cables",your,emp_2135
SI_46,OR_46,item_146,494,993.11,490596.34,S,Category C,"Switches, Main Switch, Ceiling Rose",job,emp_1173
