department_id,department_name,location,allocated_budget
D_101,IT,office,87198.04
D_102,Marketing,store,368374.46
D_103,Human Resources,store,214635.47
D_104,IT,store,59441.7
D_105,Designing department,office,279231.89
D_106,Designing department,store,464596.6
D_107,Designing department,store,120114.21
D_108,Account department,store,144021.39
D_109,Purchasing,office,46526.7
D_110,IT,office,291589.65
D_111,Purchasing,office,493187.22
D_112,Sales,store,128653.44
D_113,Finance,office,132106.63
D_114,Administration,store,467039.73
D_115,Purchasing,office,14937.7
D_116,Sales,store,64216.42
D_117,Sales,office,149244.69
D_118,Sales,store,265649.69
D_119,Sales representatives,store,163794.09
D_120,Purchasing,office,330736.71
D_121,Designing department,office,230683.03
D_122,Sales,store,151123.08
D_123,Account department,office,329651.79
D_124,Sales,office,158800.47
D_125,Account department,store,394455.73
D_126,Administration,store,463777.8
D_127,Sales representatives,store,362038.26
D_128,Designing department,store,275918.34
D_129,Human Resources,office,305140.52
D_130,Production,office,17848.37
D_131,Production,office,473567.89
D_132,Production,store,212640.88
D_133,Purchasing,office,34290.13
D_134,Sales representatives,office,50113.51
D_135,Purchasing,office,114926.19
D_136,IT,office,436043.29
D_137,Human Resources,store,154269.88
D_138,Marketing,office,436936.11
D_139,IT,store,404834.54
D_140,IT,office,185458.11
D_141,Accounting,office,222160.44
D_142,Sales,office,359627.39
D_143,Account department,store,121563.02
D_144,Marketing,store,469783.96
D_145,Account department,store,10701.94
D_146,Finance,office,82004.35
D_147,IT,office,159224.7
D_148,Purchasing,store,311856.13
D_149,Administration,office,380801.32
D_150,Sales,office,78451.57
D_151,Sales,store,216138.01
D_152,Human Resources,store,351336.94
D_153,Finance,store,398856.18
D_154,Sales,office,135175.86
D_155,Finance,store,471565.39
D_156,Sales,office,413066.61
D_157,Purchasing,store,79979.62
D_158,Sales representatives,store,216752.79
D_159,Sales,office,17706.07
D_160,Sales,store,266985.77
D_161,Administration,store,440794.31
D_162,Purchasing,office,488740.59
D_163,Administration,office,52615.44
D_164,Human Resources,store,59382.05
D_165,Finance,store,184377.68
D_166,Administration,office,245996.12
D_167,Production,store,158511.36
D_168,IT,store,464707.12
D_169,Human Resources,store,164399.63
D_170,Sales,store,67557.29
D_171,Accounting,office,441769.02
D_172,Sales representatives,store,220920.45
D_173,Administration,office,76060.78
D_174,Sales,store,236054.53
D_175,Production,store,259324.96
D_176,Production,office,256453.8
D_177,Designing department,office,415835.36
D_178,Administration,office,450743.31
D_179,Administration,store,97604.47
D_180,Marketing,office,419082.8
D_181,Marketing,store,178127.31
D_182,Finance,office,405914.27
D_183,Human Resources,office,383131.54
D_184,Production,office,406851.34
D_185,Account department,store,395166.03
D_186,Production,store,236889.53
D_187,Sales,office,148102.03
D_188,Accounting,office,353725.27
D_189,Administration,store,295671.5
D_190,Production,store,56084.13
D_191,Accounting,store,151579.19
D_192,Account department,store,142878.34
D_193,Marketing,store,203624.62
D_194,Sales,store,132920.75
D_195,Marketing,office,91167.74
D_196,Designing department,store,464287.58
D_197,Finance,office,298164.2
D_198,Marketing,store,70405.08
