order_id,amount,profit,quantity,category,payment_method
OR_3969,78.97,37.74,5,Category B,Checks
OR_5134,98.75,42.02,10,Category B,EMI
OR_2982,364.21,54.08,2,Category B,EMI
OR_7918,109.01,35.56,6,Category C,COD
OR_8871,44.03,19.82,8,Category B,Card
OR_1829,424.43,163.24,2,Category A,COD
OR_5207,62.33,19.78,10,Category A,Checks
OR_539,109.57,23.83,9,Category C,EMI
OR_9423,344.19,164.36,8,Category B,Mobile Payment
OR_9190,31.27,4.26,9,Category C,Mobile Payment
OR_8959,253.64,77.48,3,Category A,Checks
OR_8304,123.88,58.69,4,Category A,Card
OR_1975,187.36,65.03,7,Category B,EMI
OR_2087,240.05,107.71,4,Category C,COD
OR_7699,299.28,93.35,7,Category B,EMI
OR_5063,371.73,107.86,6,Category B,EMI
OR_2791,245.76,101.97,1,Category A,Checks
OR_3597,47.53,5.38,1,Category B,Card
OR_3791,212.27,62.85,2,Category A,Card
OR_7542,279.06,34.74,2,Category C,Checks
OR_973,402.21,79.54,4,Category C,Checks
OR_8857,356.53,132.91,4,Category C,Mobile Payment
OR_8344,172.83,67.44,8,Category C,COD
OR_174,207.84,60.23,5,Category A,EMI
OR_1209,188.04,52.86,10,Category C,COD
OR_2650,254.8,43.96,3,Category B,EMI
OR_7081,324.93,107.13,4,Category C,COD
OR_2760,455.22,222.75,4,Category C,Checks
OR_8845,132.81,59.27,10,Category B,Mobile Payment
OR_3841,479.27,153.77,3,Category B,Card
OR_7672,195.54,22.94,7,Category B,Checks
OR_2382,274.93,39.42,2,Category A,Card
OR_5069,20.96,4.2,2,Category C,EMI
OR_2090,312.88,146.16,7,Category A,Mobile Payment
OR_7160,211.25,56.72,1,Category A,Card
OR_7524,282.72,51.9,8,Category A,Checks
OR_9710,266.57,104.1,6,Category A,Card
OR_9423,27.75,7.83,1,Category C,EMI
OR_6658,79.59,36.75,9,Category C,COD
OR_7198,425.93,129.81,10,Category A,Card
OR_4902,291.03,102.49,6,Category A,COD
OR_935,396.42,101.36,6,Category A,Card
OR_5591,477.07,72.91,2,Category C,Checks
OR_3225,272.48,52.04,9,Category A,Card
OR_2170,424.84,67.27,5,Category A,Card
OR_5688,320.43,77.44,6,Category C,Card
OR_2862,171.86,42.28,1,Category C,COD
OR_9206,235.41,76.18,2,Category A,Checks
OR_8251,350.69,172.72,3,Category A,Card
OR_4047,94.5,26.49,4,Category C,EMI
OR_4694,251.86,41.21,8,Category B,COD
OR_1992,91.31,34.43,8,Category C,COD
OR_8032,280.37,55.28,2,Category A,Card
OR_8738,195.68,74.0,1,Category C,Card
OR_2603,447.49,205.83,7,Category C,Card
OR_1289,107.09,21.62,3,Category B,Card
OR_2026,429.11,134.97,7,Category C,Checks
OR_2811,164.94,19.62,3,Category A,Card
OR_4592,130.88,48.95,4,Category B,EMI
OR_5536,429.36,96.54,6,Category A,Checks
OR_1071,170.22,33.76,3,Category C,Card
OR_7402,442.17,120.05,5,Category C,EMI
OR_3609,103.64,41.66,3,Category A,Mobile Payment
OR_8103,474.5,152.89,8,Category A,Checks
OR_5035,169.66,66.86,8,Category A,Card
OR_2107,261.45,56.26,10,Category B,Card
OR_1663,463.13,72.89,1,Category C,Checks
OR_8902,491.68,219.89,1,Category B,Mobile Payment
OR_7608,147.57,18.86,5,Category C,COD
OR_1906,432.23,113.85,5,Category B,Mobile Payment
OR_4088,340.66,69.46,9,Category C,EMI
OR_6356,182.32,32.56,3,Category A,Mobile Payment
OR_4932,466.12,218.03,10,Category C,Checks
OR_4833,447.2,206.95,7,Category A,Checks
OR_1270,313.68,129.69,6,Category A,Card
OR_6383,192.15,19.43,5,Category C,EMI
OR_7377,274.38,33.5,9,Category B,Checks
OR_5629,285.31,138.74,10,Category A,EMI
OR_260,62.66,29.76,7,Category B,Mobile Payment
OR_3008,27.03,11.41,3,Category A,EMI
OR_3025,192.07,68.56,1,Category C,EMI
OR_8042,177.49,58.24,1,Category B,Card
OR_7851,152.17,58.19,1,Category C,Checks
OR_3189,447.09,209.93,7,Category C,Checks
OR_9393,252.91,50.3,5,Category B,Checks
OR_8606,150.33,59.06,5,Category C,Mobile Payment
OR_8637,199.12,49.6,10,Category C,Mobile Payment
OR_4866,351.51,84.32,7,Category A,EMI
OR_4918,401.08,74.12,4,Category B,COD
OR_4560,377.94,103.49,6,Category C,Checks
OR_4190,276.81,92.92,8,Category C,EMI
OR_6553,217.07,102.35,10,Category B,Mobile Payment
OR_6602,382.44,127.36,3,Category C,Card
OR_3007,136.74,65.64,6,Category C,COD
OR_5181,209.63,67.07,9,Category B,Mobile Payment
OR_2640,433.77,116.58,10,Category C,Card
OR_7247,194.54,69.93,8,Category A,Checks
OR_7775,98.35,44.75,5,Category C,Mobile Payment
OR_1079,217.24,75.81,4,Category C,Mobile Payment
OR_9695,179.91,75.17,8,Category A,Checks
OR_6802,167.3,22.7,1,Category C,EMI
OR_8115,24.32,7.03,2,Category B,EMI
OR_9291,433.66,51.79,9,Category B,EMI
OR_1120,339.32,51.38,5,Category C,EMI
OR_2090,210.7,46.42,5,Category C,Mobile Payment
OR_1221,255.17,124.62,9,Category A,COD
OR_2771,483.35,166.58,5,Category B,COD
OR_2860,208.39,70.08,10,Category C,Checks
OR_8861,270.39,55.28,3,Category C,COD
OR_1640,202.9,33.2,4,Category C,Mobile Payment
OR_1321,317.51,37.04,1,Category B,Mobile Payment
OR_330,27.16,12.75,5,Category A,Mobile Payment
OR_5267,387.89,102.72,7,Category C,EMI
OR_1263,330.21,71.05,9,Category A,EMI
OR_7665,164.41,59.17,7,Category C,Card
OR_9134,315.58,128.22,2,Category C,Mobile Payment
OR_5898,487.73,189.23,8,Category B,Card
OR_6965,176.65,29.27,8,Category A,EMI
OR_8673,421.61,63.73,9,Category B,Mobile Payment
OR_2480,164.37,75.11,4,Category A,EMI
OR_5606,145.74,58.62,3,Category B,EMI
OR_452,34.69,10.34,5,Category A,EMI
OR_8881,251.5,85.5,10,Category A,Checks
OR_461,241.51,117.79,2,Category B,Mobile Payment
OR_7949,183.17,43.03,2,Category A,EMI
OR_6157,369.28,125.38,8,Category A,Mobile Payment
OR_8194,318.02,37.82,9,Category C,Checks
OR_2185,466.26,47.21,1,Category C,Checks
OR_5501,37.97,4.86,6,Category A,Checks
OR_7640,439.11,195.34,4,Category A,Mobile Payment
OR_557,165.57,81.38,3,Category A,Mobile Payment
OR_5209,108.87,52.91,9,Category A,Mobile Payment
OR_3709,124.26,55.86,5,Category C,Checks
OR_2696,359.71,78.94,10,Category B,COD
OR_4453,461.51,132.2,1,Category B,Checks
OR_9406,304.96,82.84,9,Category B,EMI
OR_481,259.27,127.82,3,Category B,EMI
OR_4127,286.17,47.42,8,Category C,Card
OR_378,104.21,43.85,9,Category B,Checks
OR_2527,493.77,95.12,7,Category A,COD
OR_1464,287.17,61.12,7,Category B,EMI
OR_599,348.6,113.87,1,Category A,Checks
OR_5989,415.4,173.19,2,Category B,COD
OR_6283,137.57,33.74,5,Category B,COD
OR_5145,20.7,4.89,1,Category C,Card
OR_3196,465.84,97.04,5,Category C,Mobile Payment
OR_726,444.1,52.4,5,Category B,COD
OR_2344,150.86,19.97,7,Category B,EMI
OR_7138,420.55,84.63,9,Category B,EMI
OR_6747,497.31,234.15,9,Category A,EMI
OR_3098,426.4,53.2,3,Category C,Card
OR_5365,388.89,133.86,2,Category B,Mobile Payment
OR_7851,195.96,65.86,6,Category A,Mobile Payment
OR_5055,225.81,89.82,8,Category C,Mobile Payment
OR_4852,247.47,36.48,3,Category A,Card
OR_1020,451.31,81.13,6,Category B,EMI
OR_2642,146.72,29.49,4,Category A,COD
OR_1982,66.03,9.59,6,Category A,EMI
OR_8955,435.89,154.22,10,Category B,Mobile Payment
OR_6832,388.49,187.25,9,Category B,Checks
OR_4291,454.73,202.37,7,Category A,Checks
OR_8889,27.07,11.06,3,Category A,Checks
OR_5500,58.69,14.12,1,Category A,Checks
OR_5437,414.88,147.5,2,Category C,Card
OR_833,168.99,73.66,10,Category A,EMI
OR_7901,462.68,203.26,6,Category C,Mobile Payment
OR_687,295.1,38.23,1,Category B,Mobile Payment
OR_1265,452.69,75.88,7,Category B,Mobile Payment
OR_5904,437.97,64.04,9,Category B,EMI
OR_83,35.17,4.12,2,Category A,Checks
OR_4309,294.48,126.03,4,Category B,Checks
OR_4809,50.91,10.97,6,Category A,Card
OR_6448,451.65,74.82,3,Category C,Checks
OR_9569,325.99,107.18,7,Category C,Mobile Payment
OR_8153,169.31,68.66,5,Category B,Card
OR_3809,408.53,168.07,8,Category C,EMI
OR_9234,288.02,129.47,1,Category B,Mobile Payment
OR_8300,466.29,66.37,9,Category B,Checks
OR_4652,222.86,107.21,9,Category C,Mobile Payment
OR_1588,130.38,42.97,3,Category A,Mobile Payment
OR_7634,219.75,71.9,1,Category B,COD
OR_9691,198.67,82.58,10,Category C,Checks
OR_6218,206.74,59.32,8,Category B,COD
OR_5778,208.85,57.18,6,Category A,Mobile Payment
OR_1608,451.87,49.57,6,Category A,Checks
OR_3997,50.29,22.29,8,Category C,EMI
OR_5309,419.41,120.14,10,Category B,Mobile Payment
OR_328,217.33,102.67,2,Category C,Mobile Payment
OR_7743,195.12,29.02,9,Category A,COD
OR_5752,345.2,153.3,8,Category A,Mobile Payment
OR_5176,497.01,73.67,3,Category A,COD
OR_9687,130.41,22.93,2,Category A,EMI
OR_1234,174.55,52.54,6,Category A,Card
OR_8910,321.32,138.72,8,Category B,COD
OR_8100,104.76,23.83,1,Category C,Checks
OR_8354,487.16,131.56,9,Category A,Card
OR_3655,23.87,3.45,8,Category B,Card
OR_1227,153.87,69.6,6,Category B,Checks
OR_3170,418.81,179.76,6,Category A,Checks
OR_2240,29.06,5.89,6,Category C,Card
OR_367,102.94,34.87,6,Category C,Mobile Payment
OR_5553,321.57,105.29,1,Category B,COD
OR_7521,21.57,4.33,6,Category A,Checks
OR_509,272.97,41.07,10,Category B,EMI
OR_7626,314.46,143.2,7,Category A,Card
OR_7764,448.01,112.76,6,Category B,Mobile Payment
OR_5624,185.69,64.2,6,Category C,Mobile Payment
OR_120,396.81,90.62,8,Category A,Mobile Payment
OR_2235,37.14,8.06,4,Category C,EMI
OR_695,468.37,132.97,5,Category C,Checks
OR_983,226.14,51.71,2,Category C,COD
OR_4384,323.63,108.63,2,Category C,Checks
OR_8423,287.76,83.13,1,Category B,Mobile Payment
OR_7465,191.24,55.62,8,Category B,Checks
OR_2979,41.7,9.18,3,Category B,COD
OR_4444,93.71,22.73,10,Category B,Mobile Payment
OR_1319,89.42,12.63,3,Category A,EMI
OR_2117,454.23,74.93,6,Category B,Card
OR_9045,332.12,74.91,6,Category C,COD
OR_4322,374.46,133.51,7,Category B,EMI
OR_551,134.36,23.08,6,Category B,COD
OR_1462,286.19,113.91,9,Category C,COD
OR_5058,364.76,53.96,7,Category B,EMI
OR_6111,66.26,19.91,10,Category B,COD
OR_2393,405.25,79.59,4,Category B,Mobile Payment
OR_5369,181.84,22.78,6,Category B,Mobile Payment
OR_1150,382.6,171.32,10,Category C,Card
OR_6971,56.1,13.83,7,Category B,COD
OR_5437,397.09,72.03,7,Category B,EMI
OR_9476,123.39,16.54,2,Category B,EMI
OR_7058,462.64,183.28,1,Category A,Card
OR_8898,480.45,203.68,10,Category C,COD
OR_2663,300.09,104.84,7,Category B,EMI
OR_2416,335.78,44.97,6,Category C,EMI
OR_2078,275.34,51.85,5,Category A,Mobile Payment
OR_9352,413.71,156.4,10,Category A,Card
OR_9482,199.68,32.08,7,Category A,Card
OR_9288,188.86,84.05,8,Category C,Mobile Payment
OR_3456,53.04,10.93,9,Category C,Mobile Payment
OR_5667,361.64,93.28,2,Category A,Mobile Payment
OR_6453,81.04,25.34,6,Category A,EMI
OR_4619,471.1,91.98,1,Category B,Checks
OR_3661,423.07,176.74,3,Category A,COD
OR_4421,190.68,54.92,3,Category C,Mobile Payment
OR_5353,472.49,91.44,2,Category C,COD
OR_838,18.8,6.13,9,Category B,Checks
OR_8444,293.55,129.21,10,Category A,COD
OR_4519,257.59,53.7,8,Category A,Card
OR_1571,458.66,64.22,5,Category A,Card
OR_8337,30.39,14.83,1,Category A,Checks
OR_737,389.33,162.14,10,Category C,Checks
OR_2491,286.95,35.97,7,Category B,Checks
OR_564,236.9,91.51,6,Category B,EMI
OR_2685,129.05,53.83,1,Category B,Mobile Payment
OR_266,456.17,185.51,10,Category C,EMI
OR_9697,432.15,165.56,4,Category A,COD
OR_6227,228.84,108.72,2,Category A,Mobile Payment
OR_4749,431.98,48.75,10,Category C,EMI
OR_2096,449.44,102.1,3,Category C,EMI
OR_6343,241.69,72.9,7,Category B,Mobile Payment
OR_4982,244.55,50.82,5,Category B,EMI
OR_5327,477.24,165.38,9,Category B,Mobile Payment
OR_3836,487.66,218.46,2,Category C,Card
OR_6455,446.01,139.21,4,Category C,Card
OR_5019,125.26,24.73,3,Category B,Mobile Payment
OR_4620,172.15,50.39,3,Category B,Checks
OR_8688,103.73,39.58,10,Category A,EMI
OR_7029,219.25,55.23,7,Category C,EMI
OR_2065,218.32,46.05,4,Category B,Checks
OR_1423,251.81,84.42,6,Category C,Checks
OR_3653,470.12,171.68,1,Category C,Checks
OR_5586,350.13,61.12,2,Category C,EMI
OR_7673,14.96,6.91,6,Category A,EMI
OR_7792,143.69,60.99,5,Category A,Mobile Payment
OR_8799,218.39,51.48,3,Category C,Mobile Payment
OR_3533,80.03,9.84,8,Category B,Mobile Payment
OR_5306,73.74,26.02,7,Category B,COD
OR_3496,177.08,22.39,3,Category B,EMI
OR_4717,108.6,19.19,5,Category C,COD
OR_5156,271.88,127.33,9,Category A,COD
OR_6272,217.01,30.5,8,Category B,COD
OR_5063,69.64,17.89,5,Category A,COD
OR_8700,342.61,38.73,1,Category C,Mobile Payment
OR_3499,425.36,188.92,3,Category C,Card
OR_4331,70.5,21.51,4,Category B,Mobile Payment
OR_3513,475.15,96.49,1,Category B,EMI
OR_4119,236.25,23.67,4,Category A,EMI
OR_1318,324.7,102.94,1,Category C,EMI
OR_8404,210.91,83.87,2,Category C,COD
OR_4220,97.03,42.23,7,Category B,COD
OR_8988,403.73,179.3,4,Category A,EMI
OR_407,156.02,26.93,2,Category B,Card
OR_9138,408.31,148.08,10,Category C,EMI
OR_9704,82.58,35.14,7,Category A,EMI
OR_2465,245.17,67.29,7,Category B,Checks
OR_8770,459.47,185.87,8,Category A,Card
OR_8666,67.74,15.83,1,Category A,Card
OR_1668,132.6,50.18,9,Category B,COD
OR_5470,288.67,71.87,3,Category C,Card
OR_4061,13.05,3.71,3,Category A,Mobile Payment
OR_8548,24.1,2.58,7,Category B,Mobile Payment
OR_5647,369.38,172.59,5,Category B,Mobile Payment
OR_9441,135.75,36.82,6,Category C,COD
OR_9130,219.95,76.85,4,Category B,Checks
OR_1391,438.21,72.99,3,Category B,EMI
OR_3567,357.97,46.4,8,Category B,Card
OR_375,336.42,121.92,5,Category B,COD
OR_1191,460.5,169.89,10,Category C,EMI
OR_1049,463.94,81.52,2,Category B,Checks
OR_8307,253.05,86.47,8,Category B,Mobile Payment
OR_4246,250.84,97.56,7,Category C,EMI
OR_486,63.04,30.85,6,Category B,Checks
