order_item_id,order_id,product_id,quantity,unit_price,total_price
OI_1,OR_1,P_1814,3,28.95,86.85
OI_2,OR_2,P_5956,5,94.54,472.7
OI_3,OR_3,P_257,7,56.29,394.03
OI_4,OR_4,P_5023,3,58.12,174.36
OI_5,OR_5,P_5902,3,91.87,275.61
OI_6,OR_6,P_3899,3,18.06,54.18
OI_7,OR_7,P_1401,10,89.93,899.3
OI_8,OR_8,P_7503,4,29.1,116.4
OI_9,OR_9,P_6653,4,62.29,249.16
OI_10,OR_10,P_6502,5,31.47,157.35
OI_11,OR_11,P_2873,1,16.66,16.66
OI_12,OR_12,P_6053,4,12.43,49.72
OI_13,OR_13,P_2996,10,83.43,834.3
OI_14,OR_14,P_599,8,31.17,249.36
OI_15,OR_15,P_7512,4,80.28,321.12
OI_16,OR_16,P_6641,8,89.45,715.6
OI_17,OR_17,P_5013,2,63.06,126.12
OI_18,OR_18,P_3096,2,97.36,194.72
OI_19,OR_19,P_6778,9,34.02,306.18
OI_20,OR_20,P_8759,7,10.99,76.93
OI_21,OR_21,P_9972,9,31.93,287.37
OI_22,OR_22,P_5682,2,85.3,170.6
OI_23,OR_23,P_7059,10,78.57,785.7
OI_24,OR_24,P_9557,2,41.31,82.62
OI_25,OR_25,P_1918,6,80.16,480.96
OI_26,OR_26,P_3352,7,65.57,458.99
OI_27,OR_27,P_4741,7,71.8,502.6
OI_28,OR_28,P_7704,3,50.33,150.99
OI_29,OR_29,P_9794,3,65.35,196.05
OI_30,OR_30,P_6081,5,75.77,378.85
OI_31,OR_31,P_5457,9,58.92,530.28
OI_32,OR_32,P_9464,9,95.99,863.91
OI_33,OR_33,P_7534,5,37.95,189.75
OI_34,OR_34,P_3748,10,26.61,266.1
OI_35,OR_35,P_413,2,98.09,196.18
OI_36,OR_36,P_3720,5,83.53,417.65
OI_37,OR_37,P_9666,9,29.1,261.9
OI_38,OR_38,P_6930,5,56.6,283.0
OI_39,OR_39,P_7723,7,48.32,338.24
OI_40,OR_40,P_2819,4,69.52,278.08
OI_41,OR_41,P_447,6,11.64,69.84
OI_42,OR_42,P_818,5,74.4,372.0
OI_43,OR_43,P_5787,9,31.77,285.93
OI_44,OR_44,P_6021,6,24.61,147.66
OI_45,OR_45,P_8896,9,17.79,160.11
OI_46,OR_46,P_6262,6,61.98,371.88
OI_47,OR_47,P_9521,5,82.73,413.65
OI_48,OR_48,P_4538,1,85.28,85.28
OI_49,OR_49,P_9261,1,38.68,38.68
OI_50,OR_50,P_4547,5,35.61,178.05
OI_51,OR_51,P_440,4,35.02,140.08
OI_52,OR_52,P_7750,9,34.46,310.14
OI_53,OR_53,P_5199,6,23.96,143.76
OI_54,OR_54,P_2061,7,75.08,525.56
OI_55,OR_55,P_1625,6,73.2,439.2
OI_56,OR_56,P_6127,9,18.86,169.74
OI_57,OR_57,P_4087,9,55.13,496.17
OI_58,OR_58,P_8770,3,29.74,89.22
OI_59,OR_59,P_7744,10,55.86,558.6
OI_60,OR_60,P_3404,3,47.81,143.43
OI_61,OR_61,P_2290,3,45.41,136.23
OI_62,OR_62,P_9345,1,43.38,43.38
OI_63,OR_63,P_900,6,78.17,469.02
OI_64,OR_64,P_4411,1,16.64,16.64
OI_65,OR_65,P_6897,10,38.9,389.0
OI_66,OR_66,P_7233,6,71.89,431.34
OI_67,OR_67,P_9449,8,74.35,594.8
OI_68,OR_68,P_2305,5,30.15,150.75
OI_69,OR_69,P_948,6,43.59,261.54
OI_70,OR_70,P_9797,5,86.34,431.7
OI_71,OR_71,P_8787,7,64.45,451.15
OI_72,OR_72,P_4021,6,55.6,333.6
OI_73,OR_73,P_1576,3,49.86,149.58
OI_74,OR_74,P_1016,7,38.24,267.68
OI_75,OR_75,P_9769,10,56.76,567.6
OI_76,OR_76,P_6040,1,26.39,26.39
OI_77,OR_77,P_2175,9,90.45,814.05
OI_78,OR_78,P_3667,9,55.43,498.87
OI_79,OR_79,P_4981,10,76.87,768.7
OI_80,OR_80,P_9873,1,56.91,56.91
OI_81,OR_81,P_4317,1,16.96,16.96
OI_82,OR_82,P_4688,4,32.09,128.36
OI_83,OR_83,P_7079,4,18.0,72.0
OI_84,OR_84,P_4374,3,27.47,82.41
OI_85,OR_85,P_7381,3,17.87,53.61
OI_86,OR_86,P_7371,4,83.6,334.4
OI_87,OR_87,P_655,2,79.4,158.8
OI_88,OR_88,P_5190,2,42.32,84.64
OI_89,OR_89,P_5528,4,49.4,197.6
OI_90,OR_90,P_3025,4,23.59,94.36
OI_91,OR_91,P_3712,7,22.65,158.55
OI_92,OR_92,P_4358,5,50.91,254.55
OI_93,OR_93,P_3388,6,76.37,458.22
OI_94,OR_94,P_5181,5,36.83,184.15
OI_95,OR_95,P_7211,9,20.13,181.17
OI_96,OR_96,P_3893,2,73.41,146.82
OI_97,OR_97,P_6537,4,61.41,245.64
OI_98,OR_98,P_6180,1,49.81,49.81
OI_99,OR_99,P_5106,8,58.86,470.88
OI_100,OR_100,P_2127,9,95.46,859.14
OI_101,OR_101,P_6180,9,42.66,383.94
OI_102,OR_102,P_3399,7,77.26,540.82
OI_103,OR_103,P_4706,7,18.5,129.5
OI_104,OR_104,P_4424,4,24.73,98.92
OI_105,OR_105,P_4014,3,13.74,41.22
OI_106,OR_106,P_3633,9,65.41,588.69
OI_107,OR_107,P_2910,3,78.27,234.81
OI_108,OR_108,P_4061,6,79.47,476.82
OI_109,OR_109,P_1628,6,68.27,409.62
OI_110,OR_110,P_3854,1,63.11,63.11
OI_111,OR_111,P_9362,10,16.82,168.2
OI_112,OR_112,P_2705,9,17.07,153.63
OI_113,OR_113,P_7450,4,91.95,367.8
OI_114,OR_114,P_2488,5,54.72,273.6
OI_115,OR_115,P_1771,6,44.25,265.5
OI_116,OR_116,P_1171,9,46.44,417.96
OI_117,OR_117,P_5786,7,51.6,361.2
OI_118,OR_118,P_5306,9,29.96,269.64
OI_119,OR_119,P_3843,6,74.9,449.4
OI_120,OR_120,P_4757,10,76.74,767.4
OI_121,OR_121,P_7561,1,84.44,84.44
OI_122,OR_122,P_831,9,66.48,598.32
OI_123,OR_123,P_4054,6,50.09,300.54
OI_124,OR_124,P_3464,2,83.42,166.84
OI_125,OR_125,P_8395,1,49.47,49.47
OI_126,OR_126,P_4939,6,21.71,130.26
OI_127,OR_127,P_2492,3,23.84,71.52
OI_128,OR_128,P_5031,3,94.2,282.6
OI_129,OR_129,P_2321,10,97.36,973.6
OI_130,OR_130,P_1009,6,45.36,272.16
OI_131,OR_131,P_6584,10,47.18,471.8
OI_132,OR_132,P_4710,9,10.06,90.54
OI_133,OR_133,P_4509,1,75.79,75.79
OI_134,OR_134,P_6765,2,49.88,99.76
OI_135,OR_135,P_5830,3,14.5,43.5
OI_136,OR_136,P_246,10,67.98,679.8
OI_137,OR_137,P_7487,5,85.02,425.1
OI_138,OR_138,P_8332,4,86.22,344.88
OI_139,OR_139,P_2955,9,62.05,558.45
OI_140,OR_140,P_3671,3,98.38,295.14
OI_141,OR_141,P_7888,4,58.8,235.2
OI_142,OR_142,P_5653,3,15.84,47.52
OI_143,OR_143,P_4157,3,70.07,210.21
OI_144,OR_144,P_9026,4,93.66,374.64
OI_145,OR_145,P_7665,8,30.68,245.44
OI_146,OR_146,P_5787,5,87.74,438.7
OI_147,OR_147,P_6653,2,14.7,29.4
OI_148,OR_148,P_3676,2,57.83,115.66
OI_149,OR_149,P_6932,1,49.7,49.7
OI_150,OR_150,P_5269,10,48.68,486.8
OI_151,OR_151,P_789,6,11.51,69.06
OI_152,OR_152,P_2507,3,17.55,52.65
OI_153,OR_153,P_8310,1,79.32,79.32
OI_154,OR_154,P_2150,3,11.74,35.22
OI_155,OR_155,P_8854,6,30.54,183.24
OI_156,OR_156,P_7284,6,18.93,113.58
OI_157,OR_157,P_2408,2,21.25,42.5
OI_158,OR_158,P_332,9,38.46,346.14
OI_159,OR_159,P_7127,9,91.11,819.99
OI_160,OR_160,P_4257,2,69.31,138.62
OI_161,OR_161,P_623,9,67.04,603.36
OI_162,OR_162,P_7028,5,36.32,181.6
OI_163,OR_163,P_1017,9,10.08,90.72
OI_164,OR_164,P_4244,10,27.4,274.0
OI_165,OR_165,P_4364,10,94.08,940.8
OI_166,OR_166,P_2797,5,76.84,384.2
OI_167,OR_167,P_2436,3,30.88,92.64
OI_168,OR_168,P_2731,2,82.68,165.36
OI_169,OR_169,P_4198,8,98.51,788.08
OI_170,OR_170,P_6222,5,64.99,324.95
OI_171,OR_171,P_4808,2,30.26,60.52
OI_172,OR_172,P_5156,2,43.98,87.96
OI_173,OR_173,P_3058,2,81.24,162.48
OI_174,OR_174,P_9827,9,56.7,510.3
OI_175,OR_175,P_6859,10,83.36,833.6
OI_176,OR_176,P_7535,2,62.75,125.5
OI_177,OR_177,P_7328,6,97.13,582.78
OI_178,OR_178,P_7401,4,74.51,298.04
OI_179,OR_179,P_6466,10,39.56,395.6
OI_180,OR_180,P_7471,1,54.42,54.42
OI_181,OR_181,P_6812,10,65.97,659.7
OI_182,OR_182,P_7359,9,55.56,500.04
OI_183,OR_183,P_3301,8,24.69,197.52
OI_184,OR_184,P_9109,9,86.48,778.32
OI_185,OR_185,P_1101,10,34.03,340.3
OI_186,OR_186,P_4305,2,83.59,167.18
OI_187,OR_187,P_9916,7,18.62,130.34
OI_188,OR_188,P_5450,9,70.2,631.8
OI_189,OR_189,P_3539,5,96.94,484.7
OI_190,OR_190,P_3593,2,44.45,88.9
OI_191,OR_191,P_7364,8,69.45,555.6
OI_192,OR_192,P_5949,3,63.79,191.37
OI_193,OR_193,P_7211,2,57.85,115.7
OI_194,OR_194,P_383,8,36.34,290.72
OI_195,OR_195,P_4278,3,95.66,286.98
OI_196,OR_196,P_94,4,90.88,363.52
OI_197,OR_197,P_9545,3,90.43,271.29
OI_198,OR_198,P_6208,7,47.57,332.99
OI_199,OR_199,P_8431,5,52.55,262.75
OI_200,OR_200,P_2605,5,56.93,284.65
OI_201,OR_201,P_3854,7,48.44,339.08
OI_202,OR_202,P_7367,5,41.91,209.55
OI_203,OR_203,P_3698,4,53.58,214.32
OI_204,OR_204,P_4459,2,57.21,114.42
OI_205,OR_205,P_2095,2,46.72,93.44
OI_206,OR_206,P_5335,1,80.78,80.78
OI_207,OR_207,P_2146,10,26.39,263.9
OI_208,OR_208,P_3777,2,50.56,101.12
OI_209,OR_209,P_599,7,43.09,301.63
OI_210,OR_210,P_8605,4,97.04,388.16
OI_211,OR_211,P_3297,2,44.29,88.58
OI_212,OR_212,P_3470,5,67.96,339.8
OI_213,OR_213,P_5300,10,40.74,407.4
OI_214,OR_214,P_2581,1,78.82,78.82
OI_215,OR_215,P_2238,8,56.84,454.72
OI_216,OR_216,P_8196,9,16.02,144.18
OI_217,OR_217,P_1415,3,28.13,84.39
OI_218,OR_218,P_1750,5,36.21,181.05
OI_219,OR_219,P_5953,9,92.98,836.82
OI_220,OR_220,P_8911,2,13.43,26.86
OI_221,OR_221,P_1633,1,49.99,49.99
OI_222,OR_222,P_2850,4,66.77,267.08
OI_223,OR_223,P_3752,10,50.25,502.5
OI_224,OR_224,P_2597,5,17.36,86.8
OI_225,OR_225,P_3399,8,70.46,563.68
OI_226,OR_226,P_9235,5,88.17,440.85
OI_227,OR_227,P_6929,6,30.89,185.34
OI_228,OR_228,P_1923,7,34.01,238.07
OI_229,OR_229,P_8927,6,91.26,547.56
OI_230,OR_230,P_4416,2,36.65,73.3
OI_231,OR_231,P_4843,2,55.66,111.32
OI_232,OR_232,P_8542,3,99.91,299.73
OI_233,OR_233,P_2001,5,37.68,188.4
OI_234,OR_234,P_938,6,65.71,394.26
OI_235,OR_235,P_8635,6,83.2,499.2
OI_236,OR_236,P_8313,10,71.34,713.4
OI_237,OR_237,P_5291,4,97.32,389.28
OI_238,OR_238,P_4434,2,73.52,147.04
OI_239,OR_239,P_9021,6,75.24,451.44
OI_240,OR_240,P_2886,7,92.27,645.89
OI_241,OR_241,P_9903,7,50.16,351.12
OI_242,OR_242,P_6639,3,19.96,59.88
OI_243,OR_243,P_1814,9,15.59,140.31
OI_244,OR_244,P_200,6,96.53,579.18
OI_245,OR_245,P_1345,8,61.4,491.2
OI_246,OR_246,P_7526,6,42.47,254.82
OI_247,OR_247,P_4727,3,67.16,201.48
OI_248,OR_248,P_4696,1,10.94,10.94
OI_249,OR_249,P_6667,8,14.59,116.72
OI_250,OR_250,P_3534,7,61.63,431.41
OI_251,OR_251,P_8776,2,53.41,106.82
OI_252,OR_252,P_6110,9,54.28,488.52
OI_253,OR_253,P_1459,8,58.24,465.92
OI_254,OR_254,P_5987,5,30.41,152.05
OI_255,OR_255,P_8042,1,74.04,74.04
OI_256,OR_256,P_1402,1,58.16,58.16
OI_257,OR_257,P_2962,3,14.29,42.87
OI_258,OR_258,P_6740,5,69.98,349.9
OI_259,OR_259,P_278,1,32.07,32.07
OI_260,OR_260,P_4204,2,86.34,172.68
OI_261,OR_261,P_4949,6,21.21,127.26
OI_262,OR_262,P_5578,5,60.78,303.9
OI_263,OR_263,P_6333,4,66.46,265.84
OI_264,OR_264,P_9520,6,74.09,444.54
OI_265,OR_265,P_4702,6,94.74,568.44
OI_266,OR_266,P_7732,2,12.99,25.98
OI_267,OR_267,P_1557,6,62.6,375.6
OI_268,OR_268,P_8996,6,48.16,288.96
OI_269,OR_269,P_9974,10,70.67,706.7
OI_270,OR_270,P_2712,1,96.56,96.56
OI_271,OR_271,P_6808,10,96.46,964.6
OI_272,OR_272,P_1310,3,94.18,282.54
OI_273,OR_273,P_4835,5,45.48,227.4
OI_274,OR_274,P_500,4,67.57,270.28
OI_275,OR_275,P_8567,2,49.03,98.06
OI_276,OR_276,P_636,1,77.4,77.4
OI_277,OR_277,P_7763,5,41.57,207.85
OI_278,OR_278,P_6228,4,69.52,278.08
OI_279,OR_279,P_5001,2,18.38,36.76
OI_280,OR_280,P_8327,10,69.71,697.1
OI_281,OR_281,P_7731,5,38.66,193.3
OI_282,OR_282,P_9803,7,86.03,602.21
OI_283,OR_283,P_5309,3,67.18,201.54
OI_284,OR_284,P_1463,6,62.47,374.82
OI_285,OR_285,P_3470,4,46.5,186.0
OI_286,OR_286,P_9530,4,26.8,107.2
OI_287,OR_287,P_7069,6,43.68,262.08
OI_288,OR_288,P_3963,8,21.71,173.68
OI_289,OR_289,P_5921,9,14.38,129.42
OI_290,OR_290,P_4673,4,54.11,216.44
OI_291,OR_291,P_1581,6,64.11,384.66
OI_292,OR_292,P_9090,8,53.39,427.12
OI_293,OR_293,P_8106,10,31.72,317.2
OI_294,OR_294,P_5277,8,99.29,794.32
OI_295,OR_295,P_8690,2,33.81,67.62
OI_296,OR_296,P_441,9,99.24,893.16
OI_297,OR_297,P_1542,3,55.09,165.27
OI_298,OR_298,P_2481,1,97.62,97.62
OI_299,OR_299,P_1113,10,78.79,787.9
OI_300,OR_300,P_3692,4,56.03,224.12
OI_301,OR_301,P_3270,2,93.21,186.42
OI_302,OR_302,P_8374,6,15.7,94.2
OI_303,OR_303,P_2023,6,24.09,144.54
OI_304,OR_304,P_3749,8,98.87,790.96
OI_305,OR_305,P_1267,9,83.65,752.85
OI_306,OR_306,P_4796,1,87.52,87.52
OI_307,OR_307,P_7906,10,64.09,640.9
OI_308,OR_308,P_4201,7,18.58,130.06
OI_309,OR_309,P_475,10,97.27,972.7
OI_310,OR_310,P_4966,10,66.08,660.8
OI_311,OR_311,P_8734,4,84.74,338.96
OI_312,OR_312,P_1925,4,43.71,174.84
OI_313,OR_313,P_6171,5,76.82,384.1
OI_314,OR_314,P_7652,3,32.13,96.39
OI_315,OR_315,P_7564,10,16.98,169.8
OI_316,OR_316,P_6014,1,48.46,48.46
OI_317,OR_317,P_5643,6,84.06,504.36
OI_318,OR_318,P_7043,3,95.85,287.55
OI_319,OR_319,P_8855,6,39.2,235.2
OI_320,OR_320,P_2878,2,75.64,151.28
OI_321,OR_321,P_520,7,61.98,433.86
OI_322,OR_322,P_8989,1,82.06,82.06
OI_323,OR_323,P_3437,8,56.26,450.08
OI_324,OR_324,P_2713,8,88.62,708.96
OI_325,OR_325,P_8731,2,71.87,143.74
OI_326,OR_326,P_8221,3,26.99,80.97
OI_327,OR_327,P_7265,8,65.12,520.96
OI_328,OR_328,P_7528,2,60.82,121.64
OI_329,OR_329,P_2742,7,51.51,360.57
OI_330,OR_330,P_6158,4,29.74,118.96
OI_331,OR_331,P_4264,2,40.11,80.22
OI_332,OR_332,P_5864,5,90.17,450.85
OI_333,OR_333,P_3165,8,71.82,574.56
OI_334,OR_334,P_5334,7,28.35,198.45
OI_335,OR_335,P_2498,6,58.86,353.16
OI_336,OR_336,P_7393,2,66.79,133.58
OI_337,OR_337,P_1960,8,71.21,569.68
