order_id,customer_id,order_date,order_time,total_order_amount
OR_1,customer_106392,2022-01-18,04:18:00,220.27
OR_2,customer_107870,2020-01-26,16:58:00,480.8
OR_3,customer_102478,2021-09-16,21:55:00,431.43
OR_4,customer_107045,2022-04-21,05:29:00,286.93
OR_5,customer_102605,2022-02-27,16:47:00,391.71
OR_6,customer_103193,2021-05-07,11:43:00,269.43
OR_7,customer_108020,2023-11-25,15:00:00,300.95
OR_8,customer_107949,2020-12-13,01:13:00,160.52
OR_9,customer_105247,2022-11-19,07:37:00,207.34
OR_10,customer_105496,2022-04-02,20:34:00,254.59
OR_11,customer_108596,2023-12-03,16:05:00,185.96
OR_12,customer_105771,2023-08-03,10:12:00,176.9
OR_13,customer_107505,2022-04-03,18:46:00,449.12
OR_14,customer_103239,2023-10-24,19:40:00,188.25
OR_15,customer_106473,2020-07-21,08:58:00,318.03
OR_16,customer_108140,2020-06-14,05:41:00,242.39
OR_17,customer_101145,2023-12-31,21:45:00,416.24
OR_18,customer_103025,2020-05-10,08:01:00,252.04
OR_19,customer_105915,2021-05-22,06:59:00,200.03
OR_20,customer_103072,2022-01-28,22:10:00,314.92
OR_21,customer_104599,2023-09-25,10:07:00,444.91
OR_22,customer_101156,2023-07-14,05:04:00,464.53
OR_23,customer_103789,2021-07-15,21:06:00,166.11
OR_24,customer_106933,2022-03-09,00:29:00,33.85
OR_25,customer_107594,2022-08-02,23:57:00,96.82
OR_26,customer_105176,2023-04-24,04:08:00,200.65
OR_27,customer_109688,2020-02-19,22:43:00,97.33
OR_28,customer_102057,2022-05-02,17:46:00,384.35
OR_29,customer_102340,2023-01-29,05:20:00,441.25
OR_30,customer_109206,2021-01-21,22:49:00,114.91
OR_31,customer_108132,2021-02-28,02:49:00,226.77
OR_32,customer_109286,2021-09-15,15:15:00,203.54
OR_33,customer_105707,2020-04-02,07:57:00,13.82
OR_34,customer_108610,2021-12-10,01:38:00,119.55
OR_35,customer_107102,2020-03-24,18:02:00,129.07
OR_36,customer_104001,2021-03-09,19:27:00,301.15
OR_37,customer_109903,2021-03-10,23:26:00,391.25
OR_38,customer_10402,2021-06-15,15:07:00,209.8
OR_39,customer_105271,2020-11-09,05:50:00,273.43
OR_40,customer_105364,2020-05-14,00:04:00,305.95
OR_41,customer_10416,2020-02-25,22:47:00,223.36
OR_42,customer_103156,2020-01-09,00:22:00,468.78
OR_43,customer_109373,2023-06-07,20:14:00,491.86
OR_44,customer_103282,2023-08-02,09:34:00,296.94
OR_45,customer_10821,2023-06-19,14:38:00,446.28
OR_46,customer_104106,2023-08-28,04:00:00,180.93
OR_47,customer_101350,2021-07-02,12:03:00,160.46
OR_48,customer_104968,2023-11-23,21:46:00,142.2
OR_49,customer_102187,2023-03-14,16:25:00,301.98
OR_50,customer_108293,2023-12-08,18:17:00,129.08
OR_51,customer_106331,2020-03-25,10:17:00,118.01
OR_52,customer_10345,2022-07-19,14:00:00,450.68
OR_53,customer_105176,2022-09-21,07:25:00,201.54
OR_54,customer_104814,2023-02-12,13:37:00,191.86
OR_55,customer_101306,2021-05-31,14:55:00,147.9
OR_56,customer_10939,2022-08-05,13:01:00,205.84
OR_57,customer_101281,2020-02-24,04:42:00,76.09
OR_58,customer_108546,2021-06-02,08:48:00,310.74
OR_59,customer_107140,2021-05-29,15:30:00,493.87
OR_60,customer_108074,2021-03-19,19:09:00,79.45
OR_61,customer_104959,2023-07-14,10:32:00,389.61
OR_62,customer_106806,2020-10-15,21:18:00,314.74
OR_63,customer_10943,2022-03-09,01:43:00,152.52
OR_64,customer_109961,2023-04-18,10:56:00,484.9
