product_id,product_name,unit_price,stock_quantity
P_101,Switches,68,307
P_102,Switches,36,510
P_103,Fan,51,970
P_104,LED Bulb,3,153
P_105,LED Bulb,47,437
P_106,Fan,73,122
P_107,Holders,96,263
P_108,Main Switch,37,556
P_109,Switches,92,453
P_110,LED Bulb,83,686
P_111,Main Switch,69,384
P_112,Socket/Outlet plug,70,962
P_113,LED Bulb,90,797
P_114,Ceiling Rose,60,656
P_115,Fan,80,244
P_116,Socket/Outlet plug,59,709
P_117,Main Switch,15,855
P_118,Cables,64,434
P_119,Main Switch,69,853
P_120,Main Switch,65,987
P_121,Cables,18,196
P_122,Socket/Outlet plug,5,579
P_123,Cables,75,615
P_124,Main Switch,58,301
P_125,Holders,7,553
P_126,LED Bulb,33,910
P_127,Socket/Outlet plug,79,836
P_128,Holders,45,375
P_129,Cables,18,757
P_130,Socket/Outlet plug,36,711
P_131,Ceiling Rose,90,695
P_132,Ceiling Rose,2,938
P_133,Cables,59,501
P_134,Main Switch,65,150
P_135,Main Switch,86,581
P_136,Switches,88,191
P_137,Fan,12,934
P_138,Switches,41,410
P_139,Cables,23,374
P_140,Socket/Outlet plug,64,184
P_141,Cables,44,398
P_142,Ceiling Rose,56,737
P_143,Socket/Outlet plug,15,500
P_144,Ceiling Rose,81,904
P_145,Socket/Outlet plug,30,265
P_146,LED Bulb,17,467
P_147,Holders,13,952
P_148,Ceiling Rose,3,158
P_149,Cables,49,546
P_150,Main Switch,99,625
P_151,Main Switch,75,494
P_152,Switches,75,757
P_153,Socket/Outlet plug,18,941
P_154,Main Switch,9,232
P_155,LED Bulb,60,464
P_156,Main Switch,42,557
P_157,Cables,7,137
P_158,Switches,38,873
P_159,Fan,63,840
P_160,Holders,8,138
P_161,Switches,68,393
P_162,Socket/Outlet plug,10,110
P_163,LED Bulb,16,270
P_164,Socket/Outlet plug,4,681
P_165,Main Switch,56,652
P_166,Main Switch,11,876
P_167,LED Bulb,8,816
P_168,Fan,49,976
P_169,Cables,35,286
P_170,Main Switch,84,766
P_171,Socket/Outlet plug,74,873
P_172,Socket/Outlet plug,69,254
P_173,Switches,26,663
P_174,Socket/Outlet plug,23,208
P_175,LED Bulb,25,672
P_176,Switches,4,904
P_177,Ceiling Rose,6,980
P_178,Socket/Outlet plug,65,311
P_179,Switches,62,323
P_180,Switches,60,802
P_181,LED Bulb,25,805
P_182,Switches,82,689
P_183,Holders,94,465
P_184,Switches,38,545
P_185,LED Bulb,35,618
P_186,Fan,89,367
P_187,Ceiling Rose,33,809
P_188,Fan,25,191
P_189,Fan,59,980
P_190,LED Bulb,86,500
P_191,Holders,100,166
P_192,Main Switch,16,608
P_193,Fan,61,221
P_194,Fan,13,717
P_195,Socket/Outlet plug,38,770
P_196,LED Bulb,27,852
P_197,Holders,91,239
P_198,Cables,68,821
P_199,Cables,6,713
P_200,Cables,73,281
P_201,Main Switch,6,870
P_202,Fan,36,927
P_203,Fan,30,182
P_204,Ceiling Rose,20,230
P_205,Switches,60,135
P_206,Main Switch,61,693
P_207,Main Switch,97,118
P_208,Holders,46,856
P_209,Socket/Outlet plug,83,306
P_210,Switches,25,212
P_211,Switches,65,835
P_212,Cables,39,668
P_213,LED Bulb,17,987
P_214,Main Switch,89,708
P_215,Main Switch,96,810
P_216,Fan,46,386
P_217,Switches,10,964
P_218,LED Bulb,53,502
P_219,Main Switch,26,916
P_220,Fan,3,596
P_221,LED Bulb,99,433
P_222,Holders,52,469
P_223,Main Switch,3,948
P_224,Cables,68,649
P_225,LED Bulb,12,958
P_226,Ceiling Rose,56,421
P_227,LED Bulb,95,966
P_228,Fan,88,115
P_229,Switches,90,956
P_230,Socket/Outlet plug,76,560
P_231,Ceiling Rose,48,327
P_232,Cables,49,460
P_233,Switches,15,229
P_234,Switches,72,703
P_235,Fan,16,447
P_236,LED Bulb,82,99
P_237,Main Switch,86,455
P_238,Holders,81,625
P_239,Holders,53,721
P_240,Fan,58,643
P_241,Socket/Outlet plug,17,960
P_242,Cables,11,438
P_243,Socket/Outlet plug,25,825
P_244,Holders,81,334
P_245,Main Switch,66,651
P_246,Fan,56,651
P_247,Ceiling Rose,21,677
P_248,Ceiling Rose,38,890
P_249,Ceiling Rose,7,901
P_250,Holders,82,406
P_251,Switches,42,483
P_252,Fan,26,906
P_253,Holders,37,905
P_254,Holders,67,935
P_255,LED Bulb,70,610
P_256,LED Bulb,69,970
P_257,Socket/Outlet plug,16,249
P_258,Holders,95,153
P_259,Socket/Outlet plug,28,644
P_260,Ceiling Rose,14,844
P_261,Switches,5,796
P_262,Fan,36,389
P_263,Fan,2,249
P_264,Switches,59,860
P_265,Fan,71,225
P_266,Cables,37,419
P_267,Main Switch,50,225
P_268,Fan,53,808
P_269,Socket/Outlet plug,78,331
P_270,Socket/Outlet plug,31,246
P_271,Ceiling Rose,76,908
P_272,LED Bulb,26,570
P_273,Main Switch,86,399
P_274,Switches,23,627
P_275,Holders,69,705
P_276,Main Switch,14,530
P_277,Ceiling Rose,64,730
P_278,Switches,53,492
P_279,Cables,44,99
P_280,Holders,93,397
P_281,Holders,92,645
P_282,Fan,71,309
P_283,LED Bulb,85,164
P_284,Main Switch,73,189
P_285,LED Bulb,68,179
P_286,Cables,90,286
P_287,LED Bulb,78,722
P_288,Holders,33,91
P_289,LED Bulb,21,960
P_290,Cables,11,715
P_291,LED Bulb,96,968
P_292,Cables,47,744
P_293,Switches,25,755
P_294,Socket/Outlet plug,90,714
P_295,Holders,10,686
P_296,Holders,81,870
P_297,Holders,52,474
P_298,Socket/Outlet plug,27,522
P_299,Main Switch,50,917
P_300,Main Switch,54,408
P_301,Holders,90,424
P_302,Socket/Outlet plug,92,655
P_303,Switches,68,837
P_304,LED Bulb,23,344
P_305,Ceiling Rose,90,250
P_306,Main Switch,62,227
P_307,Switches,64,488
P_308,Ceiling Rose,66,909
P_309,Socket/Outlet plug,39,403
P_310,Socket/Outlet plug,42,904
P_311,Holders,79,940
P_312,LED Bulb,42,157
P_313,Cables,38,857
P_314,Fan,68,516
P_315,Cables,64,277
P_316,Fan,95,877
P_317,Main Switch,84,140
P_318,Holders,67,906
P_319,LED Bulb,41,755
