product_id,product_name,unit_price,stock_quantity
P_101,Cables,21.32,412
P_102,Cables,32.66,90
P_103,Main Switch,4.02,395
P_104,Main Switch,64.25,435
P_105,Switches,70.55,360
P_106,Holders,74.31,784
P_107,Socket/Outlet plug,11.13,671
P_108,LED Bulb,1.84,314
P_109,Fan,30.6,389
P_110,Switches,88.68,802
P_111,LED Bulb,96.55,547
P_112,Socket/Outlet plug,75.27,584
P_113,Ceiling Rose,20.7,829
P_114,Ceiling Rose,46.45,267
P_115,Ceiling Rose,45.96,700
P_116,Switches,25.58,60
P_117,Holders,2.67,777
P_118,Socket/Outlet plug,57.17,130
P_119,Socket/Outlet plug,52.14,682
P_120,Main Switch,2.19,929
P_121,LED Bulb,73.84,7
P_122,Cables,44.59,359
P_123,Holders,1.99,5
P_124,Main Switch,70.36,206
P_125,Ceiling Rose,90.76,666
P_126,LED Bulb,77.95,295
P_127,Main Switch,59.97,766
P_128,Socket/Outlet plug,96.5,404
P_129,Cables,16.65,383
P_130,Main Switch,40.21,569
P_131,Main Switch,31.09,551
P_132,Cables,38.52,18
P_133,Cables,15.68,158
P_134,Main Switch,83.46,87
P_135,Main Switch,42.89,223
P_136,Main Switch,68.64,366
P_137,Switches,50.49,459
P_138,Fan,36.35,298
P_139,Main Switch,52.86,154
P_140,Holders,53.39,144
P_141,Fan,25.14,634
P_142,Switches,84.94,123
P_143,Fan,1.82,895
P_144,Main Switch,45.4,72
P_145,LED Bulb,82.7,50
P_146,Socket/Outlet plug,88.88,244
P_147,LED Bulb,17.55,83
P_148,Holders,16.18,385
P_149,Holders,62.38,174
P_150,Fan,56.31,333
P_151,Fan,47.28,468
P_152,Ceiling Rose,31.06,603
P_153,Socket/Outlet plug,62.59,483
P_154,Socket/Outlet plug,19.42,78
P_155,Fan,25.68,55
P_156,Ceiling Rose,12.42,708
P_157,Socket/Outlet plug,17.25,577
P_158,LED Bulb,85.85,72
P_159,Switches,91.41,500
P_160,Socket/Outlet plug,81.2,623
P_161,Main Switch,61.63,331
P_162,Switches,53.28,176
P_163,Cables,41.59,215
P_164,Ceiling Rose,69.4,37
P_165,Switches,57.89,988
P_166,LED Bulb,53.97,91
P_167,Switches,10.62,275
P_168,Ceiling Rose,84.3,705
P_169,Holders,31.64,309
P_170,Fan,57.7,105
P_171,Ceiling Rose,40.64,672
P_172,Fan,16.08,742
P_173,Fan,37.35,951
P_174,Holders,81.51,315
P_175,Ceiling Rose,81.77,902
P_176,Switches,61.25,691
P_177,Holders,97.28,767
P_178,Fan,57.8,790
P_179,Socket/Outlet plug,23.87,465
P_180,Cables,2.07,520
P_181,Holders,25.16,75
P_182,LED Bulb,32.75,586
P_183,Switches,61.28,166
P_184,Fan,72.16,654
P_185,Socket/Outlet plug,9.92,199
P_186,Fan,16.38,724
P_187,Cables,27.09,426
P_188,LED Bulb,81.93,574
P_189,Main Switch,21.44,115
P_190,Holders,8.92,995
P_191,Cables,34.48,216
